Unnamed: 0,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
92,6.1,3.0,4.6,1.4,versicolor
42,4.5,2.3,1.3,0.3,setosa
59,6.6,2.9,4.6,1.3,versicolor
91,5.5,2.6,4.4,1.2,versicolor
49,5.3,3.7,1.5,0.2,setosa
89,5.6,3.0,4.1,1.3,versicolor
108,7.3,2.9,6.3,1.8,virginica
125,6.7,3.3,5.7,2.1,virginica
22,5.1,3.7,1.5,0.4,setosa
58,4.9,2.4,3.3,1.0,versicolor
145,6.7,3.3,5.7,2.5,virginica
130,7.2,3.0,5.8,1.6,virginica
38,4.9,3.6,1.4,0.1,setosa
141,6.7,3.1,5.6,2.4,virginica
2,4.9,3.0,1.4,0.2,setosa
53,6.9,3.1,4.9,1.5,versicolor
131,7.4,2.8,6.1,1.9,virginica
104,6.3,2.9,5.6,1.8,virginica
100,5.7,2.8,4.1,1.3,versicolor
117,6.5,3.0,5.5,1.8,virginica
88,6.3,2.3,4.4,1.3,versicolor
75,6.4,2.9,4.3,1.3,versicolor
122,5.6,2.8,4.9,2.0,virginica
150,5.9,3.0,5.1,1.8,virginica
21,5.4,3.4,1.7,0.2,setosa
72,6.1,2.8,4.0,1.3,versicolor
107,4.9,2.5,4.5,1.7,virginica
15,5.8,4.0,1.2,0.2,setosa
93,5.8,2.6,4.0,1.2,versicolor
103,7.1,3.0,5.9,2.1,virginica
